word,weight
weekly,0
interesting,0
celebrity,0
believe,0
mix,0
cluster,0
mission,0
beauty,0
cake,0
defense,0
audience,0
loan,1
abroad,0
sister,0
conduct,0
dimension,0
extensive,0
flat,0
pass,0
exhibition,0
plan,0
review,1
prison,0
quarterback,1
labor,0
makeup,0
psychology,0
flight,0
desire,0
busy,0
disorder,0
veteran,0
hearing,1
bullet,0
unlikely,0
bear,0
listen,0
pot,1
funeral,0
motivation,0
thick,0
disaster,0
raise,0
teaspoon,0
woman,0
probably,0
hungry,0
shell,0
carefully,0
fair,0
exactly,0
screen,0
recruit,0
agency,0
historian,0
ugly,0
person,0
plastic,0
carrier,1
cow,0
direction,0
singer,0
music,0
expose,0
fail,0
face,0
combination,0
character,0
previously,0
prepare,0
deeply,0
cholesterol,0
bank,0
specialist,0
troop,1
impossible,0
sport,0
vision,0
individual,0
palestinian,0
slightly,1
luck,0
embrace,1
knowledge,0
require,0
amazing,0
dining,0
yellow,0
advantage,0
disagree,0
guideline,1
ago,0
wrap,0
defensive,0
fall,0
bag,0
sad,0
occur,0
consequence,0
guest,0
relatively,0
bind,0
sorry,0
shop,0
challenge,0
transition,0
valuable,0
morning,0
know,0
minority,0
bathroom,0
percentage,0
school,0
limited,0
enhance,1
citizen,0
line,0
late,0
brick,0
stable,0
version,0
sense,0
recognize,0
black,0
tool,0
winter,0
baby,0
priest,0
possibly,0
dress,0
daughter,0
essential,0
european,0
brilliant,0
certainly,0
obviously,0
partly,0
bar,0
soccer,0
shock,1
sick,1
meal,0
early,0
cast,1
clock,0
manner,1
box,0
proof,0
smart,0
championship,0
opposition,0
bother,1
ok,0
german,0
parking,0
vessel,0
divide,0
jacket,0
knee,0
margin,0
chest,0
player,0
think,0
extension,0
pollution,0
square,0
brother,0
option,0
anxiety,0
abandon,0
ability,0
absence,0
absolute,0
absolutely,0
absorb,0
abuse,0
academic,0
accept,0
access,0
accident,0
accord,0
account,0
accurate,0
achieve,0
achievement,0
acid,0
action,0
active,0
activist,0
activity,0
actor,0
actress,0
actual,0
actually,0
add,0
addition,0
additional,0
address,0
adequate,0
adjust,0
adjustment,0
administration,0
administrator,0
admire,0
adult,0
advance,0
advanced,0
adventure,0
advertising,1
advice,0
advise,0
